Contact	Overhead
17800	320.748502994012
43400	528.8850574712644
21900	372.3259668508287
47500	557.1654411764706
400	174.0
26000	420.020725388601
51600	576.2666666666667
4500	133.2051282051282
30100	470.1980198019802
55700	583.980198019802
8600	188.4390243902439
34200	499.7741935483871
12700	246.85135135135135
38300	513.1983122362869
16800	305.7256097560976
42400	524.4280155642024
20900	356.1111111111111
46500	556.5639097744361
25000	407.9894736842105
50600	566.8556338028169
3500	104.07462686567165
29100	455.681592039801
54700	587.2533783783783
7600	175.60526315789474
33200	484.38709677419354
58800	582.5451713395638
11700	236.77142857142857
37300	506.22222222222223
15800	296.88607594936707
41400	523.8366533864541
19900	343.1186440677966
45500	546.4603773584905
24000	396.8716577540107
49600	567.8920863309353
2500	91.79591836734694
28100	442.97989949748745
53700	583.3174061433447
6600	162.01923076923077
32200	487.444976076555
57800	586.7220447284345
10700	224.2781954887218
36300	500.9173913043478
14800	284.2483660130719
40400	523.8653061224489
18900	337.1294117647059
44500	535.8219696969697
23000	385.5380434782609
48600	565.2919708029198
1500	92.79166666666667
27100	431.61224489795916
52700	577.903448275862
5600	147.05376344086022
31200	475.9903381642512
56800	591.5409836065573
9700	209.671875
35300	506.84615384615387
13800	268.9866666666667
39400	515.0946502057614
17900	322.92215568862275
43500	530.2145593869732
22000	372.27472527472526
47600	558.3382352941177
500	145.0
26100	421.2953367875648
51700	577.4140350877193
4600	137.3846153846154
30200	471.8712871287129
55800	585.003300330033
8700	191.0
34300	498.94954128440367
12800	248.88513513513513
38400	514.6919831223629
16900	306.3757575757576
42500	525.9182879377432
21000	357.56666666666666
46600	557.827067669173
25100	409.61052631578946
50700	568.0246478873239
3600	106.8529411764706
29200	457.2636815920398
54800	586.1515151515151
7700	178.46491228070175
33300	485.7972350230415
58900	581.8819875776397
11800	237.27659574468086
37400	507.6025641025641
15900	297.1069182389937
41500	524.9601593625498
20000	345.316384180791
45600	547.7132075471698
24100	398.60427807486633
49700	567.0394265232975
2600	92.7843137254902
28200	444.8492462311558
53800	584.6484641638225
6700	161.2336448598131
32300	488.99043062200957
57900	584.168253968254
10800	224.79850746268656
36400	498.1551724137931
14900	283.1290322580645
40500	524.9183673469388
19000	339.25882352941176
44600	537.1136363636364
23100	385.3027027027027
48700	562.25
1600	104.20833333333333
27200	432.8724489795918
52800	577.0
5700	147.42105263157896
31300	477.6038647342995
56900	586.7207792207793
9800	212.6796875
35400	506.0135135135135
13900	271.36
39500	516.320987654321
18000	324.96407185628743
43600	531.3678160919541
22100	374.05494505494505
47700	559.8014705882352
600	107.75
26200	422.7979274611399
51800	578.459649122807
4700	136.11111111111111
30300	473.31188118811883
55900	586.0429042904291
8800	193.85365853658536
34400	500.5091743119266
12900	251.18243243243242
38500	516.1645569620254
17000	306.2710843373494
42600	527.3385214007782
21100	359.45
46700	556.6928838951311
25200	411.2526315789474
50800	569.2429577464789
3700	110.84057971014492
29300	459.30845771144277
54900	587.1885521885522
7800	181.2280701754386
33400	487.221198156682
59000	582.7981366459627
11900	238.14788732394365
37500	506.65531914893614
16000	299.2201257861635
41600	522.094861660079
20100	345.52247191011236
45700	548.8415094339623
24200	400.5561497326203
49800	568.1254480286739
2700	93.18867924528301
28300	446.2361809045226
53900	583.6326530612245
6800	163.8785046728972
32400	488.22857142857146
58000	583.6582278481013
10900	225.64444444444445
36500	499.4439655172414
15000	285.18064516129033
40600	524.1544715447154
19100	341.1235294117647
44700	538.2727272727273
23200	387.2756756756757
48800	563.2898550724638
1700	94.27586206896552
27300	434.53061224489795
52900	578.2096219931271
5800	144.1818181818182
31400	479.45893719806764
57000	587.8831168831168
9900	215.0234375
