Contact	DeliveryPercentage	OverheadRatio	AvgLatency	TotalForwards
24300	30.960264900662253	495.5614973262032	693.5401069592613	124.76986754966887
24400	30.807248764415156	497.80213903743316	693.5401069592613	124.72158154859967
24500	30.706075533661743	500.1764705882353	693.5401069592613	124.91133004926108
24600	30.555555555555557	502.3850267379679	693.5401069592613	124.84640522875817
24700	30.456026058631924	504.52941176470586	693.5401069592613	124.96579804560261
24800	30.30794165316045	506.54545454545456	693.5401069592613	124.84278768233388
24900	30.210016155088855	508.524064171123	693.5401069592613	124.92084006462035
25000	30.595813204508858	502.93684210526317	702.5484210601153	125.13365539452496
25100	30.497592295345104	504.9736842105263	702.5484210601153	125.22632423756019
25200	30.4	507.06315789473683	702.5484210601153	125.3248
25300	30.303030303030305	509.11578947368423	702.5484210601153	125.44338118022328
25400	30.158730158730158	511.46315789473687	702.5484210601153	125.42857142857143
25500	30.173775671406005	511.4712041884817	704.5942408451823	125.5308056872038
25600	30.031446540880502	513.958115183246	704.5942408451823	125.562893081761
25700	29.93730407523511	515.8586387434555	704.5942408451823	125.61442006269593
25800	29.95319812792512	515.234375	707.6963541741367	125.5195007800312
25900	30.015552099533437	514.9533678756477	705.8673575204035	125.73716951788491
26000	29.876160990712076	517.4922279792746	705.8673575204035	125.78482972136223
26100	29.78395061728395	519.160621761658	705.8673575204035	125.77623456790124
26200	29.69230769230769	521.0621761658031	705.8673575204035	125.83538461538461
26300	29.555895865237364	522.979274611399	705.8673575204035	125.71056661562021
26400	29.465648854961835	525.2020725388601	705.8673575204035	125.86717557251909
26500	29.52815829528158	524.5567010309278	711.8185567084278	125.97412480974126
26600	29.393939393939394	526.7474226804123	711.8185567084278	125.93333333333334
26700	29.305135951661633	528.9484536082474	711.8185567084278	126.07250755287009
26800	29.32330827067669	528.3641025641026	713.5635897509171	126.00902255639097
26900	29.235382308845576	530.2410256410257	713.5635897509171	126.07046476761619
27000	29.297458893871447	529.4948979591836	727.7010204154149	126.17040358744394
27100	29.166666666666668	531.8367346938776	727.7010204154149	126.17857142857143
27200	29.080118694362017	533.4387755102041	727.7010204154149	126.1706231454006
27300	28.994082840236686	535.484693877551	727.7010204154149	126.27810650887574
27400	28.865979381443296	537.6326530612245	727.7010204154149	126.21649484536083
27500	29.03225806451613	534.7929292929293	723.1828282898813	126.29325513196481
27600	28.905109489051096	536.8888888888889	723.1828282898813	126.23065693430657
27700	28.77906976744186	539.4545454545455	723.1828282898813	126.28488372093024
27800	28.65412445730825	541.7121212121212	723.1828282898813	126.27496382054993
27900	28.674351585014406	541.3768844221106	722.2040201074294	126.30691642651297
28000	28.59195402298851	543.6231155778894	722.2040201074294	126.48275862068965
28100	28.510028653295127	545.572864321608	722.2040201074294	126.57879656160459
28200	28.38801711840228	547.8040201005025	722.2040201074294	126.56776034236805
28300	28.3072546230441	549.5778894472362	722.2040201074294	126.60028449502134
28400	28.22695035460993	551.4824120603015	722.2040201074294	126.66666666666667
28500	28.10734463276836	554.0502512562814	722.2040201074294	126.73587570621469
28600	27.9887482419128	556.251256281407	722.2040201074294	126.69479606188467
28700	28.050490883590463	555.7	724.4490000067576	126.85834502103786
28800	27.932960893854748	557.575	724.4490000067576	126.75
28900	27.85515320334262	559.765	724.4490000067576	126.89972144846797
29000	27.739251040221912	561.84	724.4490000067576	126.84049930651872
29100	27.800829875518673	561.1044776119403	739.7592039866711	126.9612724757953
29200	27.72413793103448	563.0796019900497	739.7592039866711	127.0496551724138
29300	27.609890109890113	565.5273631840796	739.7592039866711	127.09065934065934
29400	27.49658002735978	567.6268656716418	739.7592039866711	127.04924760601915
29500	27.421555252387446	569.5124378109452	739.7592039866711	127.10914051841746
29600	27.346938775510203	571.5522388059702	739.7592039866711	127.20680272108844
29700	27.235772357723576	573.7014925373135	739.7592039866711	127.16937669376694
29800	27.125506072874494	575.776119402985	739.7592039866711	127.11740890688259
29900	27.18707940780619	575.0346534653465	746.2589108974335	127.25033647375504
30000	27.114093959731544	577.0742574257425	746.2589108974335	127.35973154362416
30100	27.00534759358289	578.9653465346535	746.2589108974335	127.24866310160428
30200	26.897470039946736	581.0148514851485	746.2589108974335	127.19041278295606
30300	26.82602921646746	582.8415841584158	746.2589108974335	127.2390438247012
30400	26.75496688741722	584.7277227722773	746.2589108974335	127.30728476821191
30500	26.649076517150394	587.0247524752475	746.2589108974335	127.32189973614776
30600	26.57894736842105	588.950495049505	746.2589108974335	127.40789473684211
30700	26.474442988204455	590.6980198019802	746.2589108974335	127.28178243774575
30800	26.535947712418302	589.6945812807882	761.4000000060713	127.37124183006536
30900	26.5625	588.8627450980392	771.9269607901102	127.30859375
31000	26.623376623376622	587.9024390243902	779.5321951274705	127.3987012987013
31100	26.64941785252264	587.004854368932	778.9373786460133	127.32470892626132
31200	26.70967741935484	586.0772946859903	778.4579710194454	127.4025806451613
